City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Tuktoyaktuk,CA,69.4541,-133.0374,17.6,79,75,9.22,broken clouds
115,Clyde River,CA,70.4692,-68.5914,3.43,78,100,16.11,light snow
116,Tiarei,PF,-17.5333,-149.3333,80.62,76,87,5.68,overcast clouds
117,Kidal,ML,18.4411,1.4078,68.77,14,0,10.49,clear sky
118,Broome,US,42.2506,-75.833,36.46,75,0,5.75,clear sky
119,Puerto Ayora,EC,-0.7393,-90.3518,67.55,84,63,5.01,broken clouds
120,Upernavik,GL,72.7868,-56.1549,6.39,70,76,7.72,broken clouds
121,Chegdomyn,RU,51.1167,133.0167,31.1,83,100,10.13,light snow
122,Mar Del Plata,AR,-38.0023,-57.5575,60.94,87,0,25.99,clear sky
123,Purpe,RU,64.4803,76.6897,12.09,96,100,6.67,overcast clouds
124,Mnogovershinnyy,RU,53.9353,139.9242,23.88,80,100,5.88,overcast clouds
125,Yining,CN,29.0361,114.5636,82.63,38,3,1.43,clear sky
126,Nikolskoye,RU,59.7035,30.7861,42.8,96,100,4.41,light rain
127,Pevek,RU,69.7008,170.3133,-7.85,100,84,4.16,broken clouds
128,Payo,ID,-3.7508,103.6372,81.95,78,100,0.4,overcast clouds
129,Barrow,US,71.2906,-156.7887,26.62,86,0,20.71,clear sky
130,Kerema,PG,-7.9631,145.7785,83.32,74,100,6.98,overcast clouds
131,Alugan,PH,12.2188,125.4808,82.71,84,100,7.2,overcast clouds
132,Beringovskiy,RU,63.05,179.3167,22.73,93,100,6.33,overcast clouds
133,Vostok,RU,46.4856,135.8833,41.63,47,79,8.72,broken clouds
134,Kavaratti,IN,10.5669,72.642,82.76,69,74,8.43,broken clouds
135,Port Lincoln,AU,-34.7333,135.8667,73.8,62,83,11.48,broken clouds
136,Necochea,AR,-38.5473,-58.7368,59.81,64,82,13.42,broken clouds
137,Ramnagar,IN,29.4,79.1167,72.25,52,9,1.77,clear sky
138,Narsaq,GL,60.9167,-46.05,26.82,70,9,8.37,clear sky
139,Mufumbwe,ZM,-13.6833,24.8,61.48,95,58,3.42,light rain
140,Saint-Pierre,RE,-21.3393,55.4781,76.68,47,0,4.61,clear sky
141,Constitucion,CL,-35.3333,-72.4167,52.66,95,90,3.42,overcast clouds
142,Balakhninskiy,RU,58.0106,114.2769,20.91,85,100,10.07,overcast clouds
143,Alofi,NU,-19.0595,-169.9187,80.49,69,75,13.8,broken clouds
144,Kjollefjord,NO,70.9457,27.3465,37.45,93,75,5.75,broken clouds
145,Biankouma,CI,7.7391,-7.6138,66.31,75,58,2.28,broken clouds
146,Aksu,CN,41.1231,80.2644,50.27,30,100,3.6,overcast clouds
147,Prachuap Khiri Khan,TH,12.2167,99.75,80.44,62,94,7.47,overcast clouds
148,San Cristobal,VE,7.7669,-72.225,69.98,97,100,1.43,overcast clouds
149,Saint-Georges,GD,12.0564,-61.7485,80.28,83,20,11.5,few clouds
150,Koungou,YT,-12.7336,45.2042,80.31,74,20,13.8,few clouds
151,Tazovskiy,RU,67.4667,78.7,-7.6,97,76,6.64,broken clouds
152,Codrington,AU,-38.2667,141.9667,78.66,57,26,13.02,scattered clouds
153,Vanavara,RU,60.34,102.2797,17.22,88,95,9.1,overcast clouds
154,Alta Floresta,BR,-9.8756,-56.0861,77.63,59,69,3.09,broken clouds
155,Svetlaya,RU,46.5389,138.3297,45.7,51,39,11.5,scattered clouds
156,Chlorakas,CY,34.8042,32.4083,56.28,72,20,6.91,few clouds
157,Camacha,PT,33.0833,-16.3333,63.82,88,20,4.61,few clouds
158,Saskylakh,RU,71.9167,114.0833,0.72,97,100,4.61,overcast clouds
159,Torbat-E Jam,IR,35.244,60.6225,39.45,41,100,4.61,overcast clouds
160,Kulhudhuffushi,MV,6.6221,73.07,81.54,77,43,12.01,scattered clouds
161,Praia Da Vitoria,PT,38.7333,-27.0667,66.45,77,75,10.02,broken clouds
162,Haines Junction,CA,60.7522,-137.5108,1.35,78,9,1.14,clear sky
